#options: 1920x1080 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1759 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.91 aq:18.88 tex:65365 mv:34268 misc:255 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:32.18 aq:19.89 tex:22375 mv:17548 misc:5821 imb:1828 pmb:1178 smb:5154 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:32.18 aq:21.22 tex:3400 mv:5250 misc:2910 imb:127 pmb:647 smb:7386 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:32.07 aq:20.75 tex:24113 mv:18909 misc:5498 imb:2195 pmb:1072 smb:4893 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:32.13 aq:21.11 tex:3781 mv:5455 misc:2740 imb:167 pmb:527 smb:7466 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:31.97 aq:20.44 tex:48188 mv:33325 misc:2103 imb:6110 pmb:676 smb:1374 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:32.02 aq:20.83 tex:26018 mv:29427 misc:6675 imb:1718 pmb:2108 smb:4334 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:32.05 aq:21.11 tex:3862 mv:6478 misc:3572 imb:173 pmb:735 smb:7252 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:31.99 aq:20.58 tex:5341 mv:7560 misc:4163 imb:336 pmb:749 smb:7075 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:31.67 aq:20.32 tex:35645 mv:22742 misc:5893 imb:3218 pmb:1511 smb:3431 d:- ref:0 w:5,29,1,6,56,16,59,10 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:31.82 aq:21.71 tex:7568 mv:10802 misc:5142 imb:425 pmb:1147 smb:6588 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:31.59 aq:20.66 tex:40227 mv:31048 misc:2581 imb:5912 pmb:648 smb:1600 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:31.63 aq:21.00 tex:10509 mv:15795 misc:6024 imb:687 pmb:1504 smb:5969 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:31.52 aq:19.69 tex:42116 mv:31512 misc:2116 imb:6205 pmb:615 smb:1340 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:31.55 aq:21.19 tex:8759 mv:14239 misc:5586 imb:560 pmb:1369 smb:6231 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:32.66 aq:21.11 tex:34779 mv:27758 misc:2783 imb:5649 pmb:697 smb:1814 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:32.09 aq:21.50 tex:12939 mv:19582 misc:6399 imb:833 pmb:1862 smb:5465 d:- ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:28.95 aq:17.64 tex:54379 mv:31408 misc:2077 imb:5923 pmb:820 smb:1417 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:30.81 aq:19.76 tex:23661 mv:23861 misc:6766 imb:1049 pmb:2696 smb:4415 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:27.22 aq:16.13 tex:60141 mv:35728 misc:3131 imb:5275 pmb:1005 smb:1880 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:28.09 aq:16.74 tex:46173 mv:30863 misc:2940 imb:5364 pmb:696 smb:2100 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:28.34 aq:15.06 tex:36258 mv:25503 misc:2719 imb:5032 pmb:727 smb:2401 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:27.63 aq:13.94 tex:30299 mv:18969 misc:2692 imb:5359 pmb:615 smb:2186 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:27.99 aq:16.03 tex:32050 mv:18769 misc:4813 imb:1057 pmb:3463 smb:3640 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:27.01 aq:13.61 tex:23837 mv:12236 misc:2671 imb:3682 pmb:552 smb:3926 d:- ref:0 w:5,31,0,3,5,48,8,0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:26.58 aq:14.36 tex:4006 mv:3693 misc:1685 imb:1359 pmb:163 smb:6638 d:- ref:0 ;
in:28 out:26 type:P dur:2 cpbdur:2 q:26.86 aq:17.98 tex:217092 mv:41663 misc:717 imb:7273 pmb:46 smb:841 d:- ref:0 ;
in:26 out:27 type:B dur:2 cpbdur:2 q:26.67 aq:18.17 tex:47170 mv:34366 misc:7056 imb:1102 pmb:2657 smb:4401 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:26.77 aq:19.43 tex:10136 mv:13446 misc:5698 imb:159 pmb:1544 smb:6457 d:- ref:0 ;
in:30 out:29 type:P dur:2 cpbdur:2 q:27.25 aq:17.94 tex:62743 mv:42686 misc:6187 imb:1814 pmb:3132 smb:3214 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:27.05 aq:20.85 tex:9149 mv:11860 misc:5367 imb:82 pmb:1470 smb:6608 d:- ref:0 ;
in:32 out:31 type:P dur:2 cpbdur:2 q:27.59 aq:18.76 tex:63675 mv:42498 misc:5843 imb:2571 pmb:2768 smb:2821 d:- ref:0 ;
